sst_size_mb,input_data_mb,value_size,requested_subcompactions,pattern,count,avg_wall_ms,avg_cpu_ms,avg_input_mb,avg_output_mb,avg_subcompactions
8,256,32,1,L0->L1,5,1682.6080000000002,1416.9932000000001,302.83961486816406,295.4630174636841,1.0
8,256,32,2,L0->L1,5,923.4254000000001,1462.6208000000001,302.83961486816406,295.46383571624756,2.0
8,256,32,4,L0->L1,5,544.5844,1558.9874,302.83961486816406,295.46509552001953,4.0
8,256,32,8,L0->L1,5,482.6554,2025.3618,302.83961486816406,295.4670991897583,8.0
8,256,32,16,L0->L1,5,541.1668,3152.6398,302.83961486816406,295.47537899017334,16.0
8,256,32,32,L0->L1,5,861.0881999999999,3356.7084000000004,302.83961486816406,295.4946527481079,32.0
8,256,64,1,L0->L1,5,1093.739,863.0276,284.29385471343994,280.1146631240845,1.0
8,256,64,2,L0->L1,5,617.2090000000001,917.559,284.29385471343994,280.11501121520996,2.0
8,256,64,4,L0->L1,5,370.2672,963.4459999999999,284.29385471343994,280.114914894104,4.0
8,256,64,8,L0->L1,5,377.88919999999996,1417.098,284.29385471343994,280.1192617416382,8.0
8,256,64,16,L0->L1,5,447.9692,2164.8668,284.29385471343994,280.12765312194824,16.0
8,256,64,32,L0->L1,5,711.634,2409.0348,284.29385471343994,280.147385597229,32.0
8,256,128,1,L0->L1,5,745.8664,532.1368,273.6886320114136,271.5714159011841,1.0
8,256,128,2,L0->L1,5,427.178,565.8280000000001,273.6886320114136,271.5726261138916,2.0
8,256,128,4,L0->L1,5,265.43719999999996,587.255,273.6886320114136,271.5736665725708,4.0
8,256,128,8,L0->L1,5,285.63739999999996,925.686,273.6886320114136,271.577392578125,8.0
8,256,128,16,L0->L1,5,377.221,1518.4322,273.6886320114136,271.5867500305176,16.0
8,256,128,32,L0->L1,5,619.6206,1808.0138,273.6886320114136,271.6065616607666,32.0
8,256,256,1,L0->L1,5,518.9166,316.8576,265.5124797821045,264.4996681213379,1.0
8,256,256,2,L0->L1,5,301.59700000000004,333.4572,265.5124797821045,264.5000877380371,2.0
8,256,256,4,L0->L1,5,206.20860000000002,357.48879999999997,265.5124797821045,264.50275230407715,4.0
8,256,256,8,L0->L1,5,262.6342,781.6948,265.5124797821045,264.5073823928833,8.0
8,256,256,16,L0->L1,5,339.9618,1155.5498,265.5124797821045,264.51687145233154,16.0
8,256,256,32,L0->L1,5,600.7542,1286.0208,265.5124797821045,264.5364694595337,32.0
8,256,512,1,L0->L1,5,408.0,206.9456,261.11878490448,260.6278409957886,1.0
8,256,512,2,L0->L1,5,246.30280000000002,215.1138,261.11878490448,260.6289978027344,2.0
8,256,512,4,L0->L1,5,178.98160000000001,237.73739999999998,261.11878490448,260.62887954711914,4.0
8,256,512,8,L0->L1,5,228.2384,593.2547999999999,261.11878490448,260.63328742980957,8.0
8,256,512,16,L0->L1,5,308.9708,934.0477999999999,261.11878490448,260.6430597305298,16.0
8,256,512,32,L0->L1,5,520.2121999999999,1063.6204,261.11878490448,260.6615505218506,31.0
8,256,1024,1,L0->L1,5,340.361,143.388,258.7517499923706,258.4976568222046,1.0
8,256,1024,2,L0->L1,5,241.69400000000002,155.936,258.7517499923706,258.4976110458374,2.0
8,256,1024,4,L0->L1,5,187.448,173.4568,258.7517499923706,258.5000123977661,4.0
8,256,1024,8,L0->L1,5,213.50300000000001,448.32340000000005,258.7517499923706,258.5000247955322,7.0
8,256,1024,16,L0->L1,5,285.6158,782.1378000000001,258.7517499923706,258.5070390701294,14.0
8,256,1024,32,L0->L1,5,462.88239999999996,972.2286,258.7517499923706,258.52404499053955,28.0
