secs_elapsed,cpu_pct,sst_size_mb,input_data_mb,requested_input_sst_count,value_size,requested_subcompactions,repeat_index
0.101,49.7622,8,256,32,1024,1,1
0.201,59.6847,8,256,32,1024,1,1
0.302,59.6195,8,256,32,1024,1,1
0.101,49.7701,8,256,32,1024,1,2
0.201,59.6557,8,256,32,1024,1,2
0.302,49.6898,8,256,32,1024,1,2
0.101,59.7536,8,256,32,1024,1,3
0.201,69.6099,8,256,32,1024,1,3
0.302,49.6948,8,256,32,1024,1,3
0.101,59.7114,8,256,32,1024,1,4
0.201,49.7483,8,256,32,1024,1,4
0.302,59.6177,8,256,32,1024,1,4
0.101,59.7004,8,256,32,1024,1,5
0.201,49.6975,8,256,32,1024,1,5
0.302,49.6852,8,256,32,1024,1,5
0.103,265.3413,8,256,32,1024,16,1
0.209,508.7741,8,256,32,1024,16,1
0.311,49.0299,8,256,32,1024,16,1
0.104,241.9302,8,256,32,1024,16,2
0.207,593.9209,8,256,32,1024,16,2
0.102,246.7607,8,256,32,1024,16,3
0.205,475.3935,8,256,32,1024,16,3
0.307,88.0405,8,256,32,1024,16,3
0.102,266.0299,8,256,32,1024,16,4
0.211,606.9678,8,256,32,1024,16,4
0.312,29.6567,8,256,32,1024,16,4
0.102,216.5674,8,256,32,1024,16,5
0.206,383.9298,8,256,32,1024,16,5
0.308,69.0018,8,256,32,1024,16,5
0.101,99.5096,8,256,32,1024,2,1
0.201,59.6581,8,256,32,1024,2,1
0.101,89.5911,8,256,32,1024,2,2
0.201,59.6986,8,256,32,1024,2,2
0.101,89.6012,8,256,32,1024,2,3
0.201,59.6902,8,256,32,1024,2,3
0.101,109.4396,8,256,32,1024,2,4
0.201,49.7414,8,256,32,1024,2,4
0.101,79.603,8,256,32,1024,2,5
0.201,69.59,8,256,32,1024,2,5
0.102,276.1365,8,256,32,1024,32,1
0.205,312.3897,8,256,32,1024,32,1
0.311,536.0036,8,256,32,1024,32,1
0.415,212.0855,8,256,32,1024,32,1
0.516,0.0,8,256,32,1024,32,1
0.103,264.3776,8,256,32,1024,32,2
0.205,372.8808,8,256,32,1024,32,2
0.315,546.6299,8,256,32,1024,32,2
0.421,141.2306,8,256,32,1024,32,2
0.106,325.4011,8,256,32,1024,32,3
0.208,313.4026,8,256,32,1024,32,3
0.316,424.5977,8,256,32,1024,32,3
0.418,353.8917,8,256,32,1024,32,3
0.103,255.4906,8,256,32,1024,32,4
0.205,341.3503,8,256,32,1024,32,4
0.314,433.6863,8,256,32,1024,32,4
0.419,302.688,8,256,32,1024,32,4
0.104,271.8163,8,256,32,1024,32,5
0.206,274.116,8,256,32,1024,32,5
