sst_size_mb,input_data_mb,requested_input_sst_count,input_path_component,value_size,requested_subcompactions,num_repeats,compaction_time_micros,compaction_time_micros_std,speedup_vs_subcomp1,speedup_vs_subcomp1_std,compaction_time_variance_micros2
8,256,32,input_32sst,32,1,5,1702389.6,10287.789161914236,1.0,0.0,105838605.84
8,256,32,input_32sst,32,2,5,931851.0,3095.6417751413032,1.8268903504959484,0.012598330824304572,9582997.999999998
8,256,32,input_32sst,32,4,5,540099.6,2659.7546202610497,3.151991965926285,0.02457157939063691,7074294.640000001
8,256,32,input_32sst,32,8,5,466841.6,26030.983320650797,3.6466107561965346,0.20452488058785404,677612092.64
8,256,32,input_32sst,32,16,5,546987.4,21772.29684346601,3.112301307123345,0.1253017121825226,474032909.84000003
8,256,32,input_32sst,32,32,5,856654.0,37714.86210501107,1.9872545975387963,0.08831081016642722,1422410823.6
8,256,32,input_32sst,64,1,5,1108089.6,9093.478467561245,1.0,0.0,82691350.64
8,256,32,input_32sst,64,2,5,615539.0,2107.9600565475616,1.8001939763361867,0.016007914691822972,4443495.6
8,256,32,input_32sst,64,4,5,374709.4,7915.262209175385,2.957197230707316,0.06701546360802615,62651375.83999999
8,256,32,input_32sst,64,8,5,356356.0,17736.73826835137,3.1095017342208355,0.1568573383025818,314591884.40000004
8,256,32,input_32sst,64,16,5,448800.6,9554.361152897665,2.4690020467887077,0.056331817240606874,91285817.04
8,256,32,input_32sst,64,32,5,759479.6,33045.9147587111,1.4590116706228846,0.06460268355742244,1092032482.24
8,256,32,input_32sst,128,1,5,749593.0,2527.072693849546,1.0,0.0,6386096.4
8,256,32,input_32sst,128,2,5,423676.6,4393.565458713459,1.7692574949855622,0.019292550890690926,19303417.440000005
8,256,32,input_32sst,128,4,5,268358.0,678.9527229491019,2.7932575142160845,0.01177364630259128,460976.8
8,256,32,input_32sst,128,8,5,286380.6,12399.456175171554,2.6174712951924817,0.11367199852141165,153746513.43999997
8,256,32,input_32sst,128,16,5,379923.0,8687.95098973285,1.9730129526246107,0.045605859859724845,75480492.4
8,256,32,input_32sst,128,32,5,636359.4,20052.222346662726,1.1779396988557094,0.03732970148575974,402091621.03999996
8,256,32,input_32sst,256,1,5,522219.2,6023.739350270727,1.0,0.0,36285435.760000005
8,256,32,input_32sst,256,2,5,300761.6,2523.077533489607,1.7363227220496236,0.024764874072092817,6365920.239999999
8,256,32,input_32sst,256,4,5,206865.6,1360.4129667126817,2.5244371224601867,0.03351911715265109,1850723.4400000002
8,256,32,input_32sst,256,8,5,246824.6,14333.895668658957,2.1157502129042243,0.12526868686418036,205460565.04000002
8,256,32,input_32sst,256,16,5,351871.4,4406.220493801916,1.4841194822881314,0.02526755486946869,19414779.04
8,256,32,input_32sst,256,32,5,608962.2,29023.651675142464,0.8575560190763893,0.04205181868098166,842372356.56
8,256,32,input_32sst,512,1,5,415770.0,6245.138781484364,1.0,0.0,39001758.400000006
8,256,32,input_32sst,512,2,5,249559.6,3146.3557077991036,1.6660148517628655,0.03267141984903585,9899554.239999998
8,256,32,input_32sst,512,4,5,176625.8,2291.8646905958476,2.3539596140541192,0.046724294137856115,5252643.760000001
8,256,32,input_32sst,512,8,5,220760.2,11975.448741487728,1.8833557860520147,0.10600956783263381,143411372.56
8,256,32,input_32sst,512,16,5,326875.0,3400.035764517779,1.2719541108986616,0.02323934470158361,11560243.2
8,256,32,input_32sst,512,32,5,592081.6,32098.93427888222,0.7022173970614861,0.039503991144150756,1030341581.8400002
8,256,32,input_32sst,1024,1,5,351455.6,9304.260563849231,1.0,0.0,86569264.64000002
8,256,32,input_32sst,1024,2,5,246211.6,5414.475435349209,1.4274534587322447,0.049127151014025976,29316544.240000006
8,256,32,input_32sst,1024,4,5,191886.4,3512.811216105984,1.831581602448115,0.05895253261792634,12339842.640000002
8,256,32,input_32sst,1024,8,5,208839.2,10570.175086534755,1.6829005282533163,0.09612614392347334,111728601.36000001
8,256,32,input_32sst,1024,16,5,306896.4,7537.541843333276,1.1451929706571988,0.04135504967899645,56814537.04
8,256,32,input_32sst,1024,32,5,482264.0,25368.463674412767,0.7287618399880563,0.04291600919248369,643558949.2000002
