secs_elapsed,device,rps,wps,rkib_per_sec,wkib_per_sec,util_pct,avg_queue_depth,read_await_ms,write_await_ms,ios_in_progress,sst_size_mb,input_data_mb,requested_input_sst_count,value_size,requested_subcompactions,repeat_index
0.101,nvme1n1,1224.9495,3276.4911,145012.1165,372982.1981,9.9589,0.8664,0.3333,0.1429,0,8,32,4,32,1,1
0.101,nvme1n1,1234.713,3335.7167,145028.9945,375870.5449,7.9659,0.8762,0.3306,0.1373,0,8,32,4,32,1,2
0.101,nvme1n1,1224.3346,3344.5237,144979.1294,375860.757,9.9539,0.8759,0.3333,0.1369,0,8,32,4,32,1,3
0.101,nvme1n1,1214.7105,3345.4322,145018.5125,376281.471,14.935,0.8861,0.3361,0.1399,0,8,32,4,32,1,4
0.101,nvme1n1,1214.0411,3333.6373,144938.5907,376034.2921,10.9463,1.0349,0.4672,0.1403,0,8,32,4,32,1,5
0.101,nvme1n1,2099.8451,4965.9844,243542.2225,553961.0278,23.8845,1.5326,0.3412,0.1643,0,8,32,4,64,1,1
0.101,nvme1n1,2082.1,5010.987,243794.976,554416.3945,18.9282,1.5143,0.3541,0.1511,0,8,32,4,64,1,2
0.101,nvme1n1,2020.3192,5006.0127,238163.7906,563420.2591,17.9142,1.5327,0.3596,0.159,0,8,32,4,64,1,3
0.101,nvme1n1,2020.5828,4857.3616,238155.0474,550832.7723,17.9165,1.8414,0.5172,0.1639,0,8,32,4,64,1,4
0.101,nvme1n1,2030.7027,4668.6253,238174.5488,554580.9234,17.918,1.4135,0.3284,0.1578,0,8,32,4,64,1,5
