benchmark,parsed_benchmark_name,sst_size_mb,input_data_mb,requested_input_sst_count,input_path_component,value_size,key_size,requested_subcompactions,requested_bg_threads,num_repeats,benchmark_elapsed_s,compaction_time_micros,compaction_time_count,compaction_runs,preload_entries,target_logical_input_bytes,preload_sst_count,preload_sst_bytes,preload_db_bytes,compaction_count,actual_subcompactions_avg,actual_subcompactions_max,total_compaction_wall_s,total_compaction_cpu_s,total_compaction_read_io_s,total_compaction_write_io_s,read_pct,write_pct,compute_pct,cpu_resource_pct,total_input_bytes,total_output_bytes,total_input_records,total_output_records,target_logical_input_records,total_logical_input_bytes,total_logical_output_bytes,input_throughput_mib_per_sec,output_throughput_mib_per_sec,logical_input_throughput_mib_per_sec,logical_target_throughput_mib_per_sec,total_rw_throughput_mib_per_sec,logical_input_throughput_records_per_sec,logical_output_throughput_records_per_sec,logical_target_throughput_records_per_sec,total_rw_throughput_records_per_sec,logical_input_throughput_mrecords_per_sec,logical_output_throughput_mrecords_per_sec,logical_target_throughput_mrecords_per_sec,total_rw_throughput_mrecords_per_sec,avg_device_util_pct,max_device_util_pct,avg_device_queue_depth,avg_device_rkib_per_sec,avg_device_wkib_per_sec,avg_process_cpu_pct,max_process_cpu_pct,avg_system_cpu_busy_pct,avg_system_cpu_iowait_pct,avg_foreground_cpu_pct,avg_compaction_cpu_pct,avg_flush_cpu_pct,avg_background_cpu_pct,max_compaction_cpu_pct,benchmark_elapsed_s_std,compaction_time_micros_std,compaction_time_count_std,compaction_runs_std,preload_entries_std,target_logical_input_bytes_std,preload_sst_count_std,preload_sst_bytes_std,preload_db_bytes_std,compaction_count_std,actual_subcompactions_avg_std,actual_subcompactions_max_std,total_compaction_wall_s_std,total_compaction_cpu_s_std,total_compaction_read_io_s_std,total_compaction_write_io_s_std,read_pct_std,write_pct_std,compute_pct_std,cpu_resource_pct_std,total_input_bytes_std,total_output_bytes_std,total_input_records_std,total_output_records_std,target_logical_input_records_std,total_logical_input_bytes_std,total_logical_output_bytes_std,input_throughput_mib_per_sec_std,output_throughput_mib_per_sec_std,logical_input_throughput_mib_per_sec_std,logical_target_throughput_mib_per_sec_std,total_rw_throughput_mib_per_sec_std,logical_input_throughput_records_per_sec_std,logical_output_throughput_records_per_sec_std,logical_target_throughput_records_per_sec_std,total_rw_throughput_records_per_sec_std,logical_input_throughput_mrecords_per_sec_std,logical_output_throughput_mrecords_per_sec_std,logical_target_throughput_mrecords_per_sec_std,total_rw_throughput_mrecords_per_sec_std,avg_device_util_pct_std,max_device_util_pct_std,avg_device_queue_depth_std,avg_device_rkib_per_sec_std,avg_device_wkib_per_sec_std,avg_process_cpu_pct_std,max_process_cpu_pct_std,avg_system_cpu_busy_pct_std,avg_system_cpu_iowait_pct_std,avg_foreground_cpu_pct_std,avg_compaction_cpu_pct_std,avg_flush_cpu_pct_std,avg_background_cpu_pct_std,max_compaction_cpu_pct_std,elapsed_source,compaction_time_source,run_dir,dominant_breakdown,baseline_logical_input_throughput_mib_per_sec,baseline_input_throughput_mib_per_sec,baseline_logical_input_throughput_records_per_sec,baseline_logical_input_throughput_mrecords_per_sec,baseline_compaction_time_micros,baseline_compaction_time_micros_std,speedup_vs_subcomp1,speedup_vs_subcomp1_std,efficiency_vs_subcomp1
compactall,compactall,8,32,4,input_4sst,32,16,1,1,5,0.1833854,183385.4,1.0,5.0,699051.0,33554432.0,7.0,39693886.0,39759621.0,1.0,1.0,1.0,0.1833854,0.14680140000000003,0.029094365599999998,0.0074896344,15.855710975266032,4.085182175133938,80.05910684960004,80.05910684960004,39693886.0,39468661.0,698865.0,697813.0,699050.6666666666,33545520.0,33495024.0,206.46008666340737,205.2886222968607,174.48054761806551,174.52690166594948,411.74870896026806,3811585.7228991813,3805848.1510069133,3812598.342526555,7617433.873906094,3.8115857228991814,3.805848151006913,3.812598342526555,7.617433873906094,10.752,10.752,0.9079,144995.46872,375405.85262,87.61136,87.61136,5.755599999999999,0.62578,0.0,87.61136,0.0,87.61136,87.61136,0.002429025450669471,2429.0254506694655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002429025450669471,0.001032989951548422,0.001804224749010455,5.913250326038991e-05,0.7984791173867211,0.08405941326185837,0.7216203838116991,0.721620383811696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.769143769779317,2.753431516120188,2.3402185342097086,2.340840257395913,5.522575285899504,51122.8539526559,51045.898829194084,51136.43570289937,102168.75278184991,0.0511228539526559,0.05104589882919408,0.0511364357028994,0.1021687527818499,2.304932359962001,2.304932359962001,0.06380498413133569,32.96733182230088,1221.3616884254911,9.77358952045767,9.77358952045767,0.44779186236464824,0.0029184927616836853,0.0,9.77358952045767,0.0,9.77358952045767,9.77358952045767,compaction_wall_sum,rocksdb.compaction.times.micros,/home/1755_project/presentation/cpu/compaction_parallelism/final-speedup-cpu-8mb-sst_4sst/sst_8MB/input_4sst/value_32/subcomp_1/repeat_01,computation,174.48054761806551,206.46008666340737,3811585.7228991813,3.8115857228991814,183385.4,2429.0254506694655,1.0,0.0,1.0
compactall,compactall,8,32,4,input_4sst,32,16,2,1,5,0.1012502,101250.2,1.0,5.0,699051.0,33554432.0,7.0,39693886.0,39759621.0,1.0,2.0,2.0,0.1012502,0.1532954,0.0,0.0075276488,0.0,7.436489113215302,92.5635108867847,151.4152242906778,39693886.0,39469938.0,698865.0,697813.0,699050.6666666666,33545520.0,33495024.0,373.9904551733313,371.88044723772236,316.06137765967503,316.1453453250355,745.8709024110536,6904466.148768155,6894072.870540595,6906300.450407175,13798539.01930875,6.904466148768155,6.894072870540595,6.906300450407175,13.798539019308752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017591678032524345,1759.1678032524358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017591678032524345,0.0022019573656181417,0.0,0.00010238676556938393,0.0,0.1415174441573627,0.14151744415736328,1.2572133522126123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.577124635565671,6.540017311080332,5.558363975874281,5.559840660085859,13.117141946645999,121424.31384096593,121241.5340792653,121456.57249979566,242665.8479202306,0.1214243138409659,0.12124153407926522,0.12145657249979558,0.24266584792023038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,compaction_wall_sum,rocksdb.compaction.times.micros,/home/1755_project/presentation/cpu/compaction_parallelism/final-speedup-cpu-8mb-sst_4sst/sst_8MB/input_4sst/value_32/subcomp_2/repeat_01,computation,174.48054761806551,206.46008666340737,3811585.7228991813,3.8115857228991814,183385.4,2429.0254506694655,1.8112102494612357,0.039570462102154785,0.9056051247306178
compactall,compactall,8,32,4,input_4sst,32,16,4,1,5,0.062464200000000004,62464.2,1.0,5.0,699051.0,33554432.0,7.0,39693886.0,39759621.0,1.0,4.0,4.0,0.062464200000000004,0.1625388,0.0,0.0083622222,0.0,13.411881067393171,86.58811893260683,260.2779381476902,39693886.0,39472524.0,698865.0,697813.0,699050.6666666666,33545520.0,33495024.0,606.6708295467539,603.2875914286686,512.7008337248014,512.8370423699545,1209.9584209754225,11200120.612996195,11183261.095228283,11203096.136252444,22383381.70822448,11.200120612996194,11.183261095228284,11.203096136252444,22.383381708224476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002067279893966947,2067.2798939669487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002067279893966947,0.004612768253446075,0.0,0.0004788544662560429,0.0,1.02932955789074,1.0293295578907427,3.887957392217834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.434604318793763,19.32622281940573,16.424290326933,16.4286537493928,38.76082713819947,358794.09695529426,358254.0049632824,358889.417373402,717048.1019185768,0.3587940969552944,0.35825400496328236,0.35888941737340224,0.7170481019185769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,compaction_wall_sum,rocksdb.compaction.times.micros,/home/1755_project/presentation/cpu/compaction_parallelism/final-speedup-cpu-8mb-sst_4sst/sst_8MB/input_4sst/value_32/subcomp_4/repeat_01,computation,174.48054761806551,206.46008666340737,3811585.7228991813,3.8115857228991814,183385.4,2429.0254506694655,2.9358480537651968,0.10465589094099151,0.7339620134412992
compactall,compactall,8,32,4,input_4sst,32,16,8,1,5,0.06920580000000001,69205.8,1.0,5.0,699051.0,33554432.0,7.0,39693886.0,39759621.0,1.0,5.0,5.0,0.06920580000000001,0.2126516,0.0,0.008451594599999999,0.0,12.34801103459419,87.6519889654058,305.6471552065018,39693886.0,39469999.0,698865.0,697813.0,699050.6666666666,33545520.0,33495024.0,558.0550180429021,554.9073981846557,471.61534571995634,471.74063923041786,1112.962416227558,10302594.432367686,10287085.958852988,10305331.510868222,20589680.39122067,10.302594432367687,10.287085958852987,10.305331510868221,20.589680391220675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01014295028874735,10142.950288747352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01014295028874735,0.04059913063896812,0.0,0.0006355392282081726,0.0,1.0143744747787136,1.0143744747787151,14.225795649163793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.7291729211477,75.30203466268146,63.999137922898726,64.01614050080386,151.03120758382914,1398082.5009716966,1395977.9703527328,1398453.927953561,2794060.4713244285,1.3980825009716964,1.395977970352733,1.398453927953561,2.7940604713244293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,compaction_wall_sum,rocksdb.compaction.times.micros,/home/1755_project/presentation/cpu/compaction_parallelism/final-speedup-cpu-8mb-sst_4sst/sst_8MB/input_4sst/value_32/subcomp_8/repeat_01,computation,174.48054761806551,206.46008666340737,3811585.7228991813,3.8115857228991814,183385.4,2429.0254506694655,2.6498559369301415,0.3899513438288675,0.3312319921162677
compactall,compactall,8,32,4,input_4sst,32,16,16,1,5,0.0684554,68455.4,1.0,5.0,699051.0,33554432.0,7.0,39693886.0,39759621.0,1.0,5.0,5.0,0.0684554,0.20989560000000002,0.0,0.0085682558,0.0,12.756785965529584,87.24321403447041,303.7723898571049,39693886.0,39469999.0,698865.0,697813.0,699050.6666666666,33545520.0,33495024.0,565.4857378732228,562.296206231115,477.8950876601236,478.02204950245687,1127.7819441043378,10439777.488297952,10424062.51342056,10442551.012064336,20863840.001718514,10.439777488297953,10.42406251342056,10.442551012064337,20.86384000171851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011273657802150996,11273.657802150996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011273657802150996,0.04899245547469528,0.0,0.0004170309090872758,0.0,1.5730344089941861,1.5730344089941888,17.524638443786174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.07396588821136,75.64488288029385,64.29052434378211,64.30760433398504,151.7188487685052,1404447.934464701,1402333.8219722218,1404821.052544014,2806781.7564369226,1.4044479344647014,1.402333821972222,1.4048210525440141,2.8067817564369224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,compaction_wall_sum,rocksdb.compaction.times.micros,/home/1755_project/presentation/cpu/compaction_parallelism/final-speedup-cpu-8mb-sst_4sst/sst_8MB/input_4sst/value_32/subcomp_16/repeat_01,computation,174.48054761806551,206.46008666340737,3811585.7228991813,3.8115857228991814,183385.4,2429.0254506694655,2.6789033443672814,0.44260297378352903,0.1674314590229551
compactall,compactall,8,32,4,input_4sst,32,16,32,1,5,0.0700904,70090.4,1.0,5.0,699051.0,33554432.0,7.0,39693886.0,39759621.0,1.0,5.0,5.0,0.0700904,0.20658980000000002,0.0,0.012866460199999999,0.0,18.454754251105363,81.54524574889464,293.54327802799855,39693886.0,39469999.0,698865.0,697813.0,699050.6666666666,33545520.0,33495024.0,546.5372203304859,543.4545647636277,461.88159192427577,462.00429947947913,1089.9917850941135,10089957.336116444,10074768.944771055,10092637.923562381,20164726.2808875,10.089957336116443,10.074768944771055,10.092637923562382,20.1647262808875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075989537595645374,7598.953759564536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075989537595645374,0.03148818111863561,0.0,0.0016705974452000576,0.0,2.258065834015432,2.2580658340154294,14.549151653712961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.70732260719927,59.37055302670118,50.458984657391696,50.47239003823737,119.0778756339004,1102293.3395022743,1100634.059679767,1102586.1845153081,2202927.3991820402,1.102293339502274,1.1006340596797668,1.1025861845153084,2.2029273991820406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,compaction_wall_sum,rocksdb.compaction.times.micros,/home/1755_project/presentation/cpu/compaction_parallelism/final-speedup-cpu-8mb-sst_4sst/sst_8MB/input_4sst/value_32/subcomp_32/repeat_01,computation,174.48054761806551,206.46008666340737,3811585.7228991813,3.8115857228991814,183385.4,2429.0254506694655,2.616412518690149,0.28577134290050443,0.08176289120906716
compactall,compactall,8,32,4,input_4sst,64,16,1,1,5,0.1261602,126160.2,1.0,5.0,419431.0,33554432.0,6.0,37263412.0,37325142.0,1.0,1.0,1.0,0.1261602,0.0932906,0.0239064684,0.0089631316,18.918867832694332,7.107806674729863,73.97332549257581,73.97332549257581,37263412.0,37159477.0,419354.0,418984.0,419430.4,33548320.0,33518720.0,281.8188219909511,281.0327737551205,253.72201617434993,253.76824051472994,562.8515957460716,3325585.2104004393,3322651.015119488,3326191.0820746687,6648236.225519927,3.325585210400439,3.322651015119488,3.3261910820746685,6.648236225519928,19.312279999999998,19.312279999999998,1.5669,240366.11706,555442.2754200001,83.62068,83.62068,5.610259999999999,1.12188,0.0,83.62068,0.0,83.62068,83.62068,0.0027686790641025948,2768.679064102591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027686790641025948,0.0010079600388904295,0.0025271783653424713,0.00024377416174615384,1.6198766185436968,0.2391326013733699,1.4134904987480048,1.4134904987480048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.198428031568642,6.18113939419264,5.580456430024046,5.58147310536576,12.37956742576128,73144.15851961111,73079.62273683032,73157.48428665021,146223.78125644146,0.07314415851961112,0.07307962273683034,0.07315748428665018,0.14622378125644137,2.319463704738662,2.319463704738662,0.14421837608293886,2697.6568244476,4216.258912537761,4.8708759989964845,4.8708759989964845,0.3832459033049146,0.2484644876033595,0.0,4.8708759989964845,0.0,4.8708759989964845,4.8708759989964845,compaction_wall_sum,rocksdb.compaction.times.micros,/home/1755_project/presentation/cpu/compaction_parallelism/final-speedup-cpu-8mb-sst_4sst/sst_8MB/input_4sst/value_64/subcomp_1/repeat_01,computation,253.72201617434993,281.8188219909511,3325585.2104004393,3.325585210400439,126160.2,2768.679064102591,1.0,0.0,1.0
compactall,compactall,8,32,4,input_4sst,64,16,2,1,5,0.073058,73058.0,1.0,5.0,419431.0,33554432.0,6.0,37263412.0,37325142.0,1.0,2.0,2.0,0.073058,0.0968166,0.0,0.0079120126,0.0,10.847941488951852,89.15205851104815,132.65788843530035,37263412.0,37160845.0,419354.0,418984.0,419430.4,33548320.0,33518720.0,486.9916465480284,485.6512091181041,438.4394965152454,438.5193736060416,972.6428556661325,5746714.168724624,5741643.788467305,5747761.13372911,11488357.95719193,5.746714168724624,5.741643788467305,5.747761133729109,11.48835795719193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00246410072846059,2464.100728460588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00246410072846059,0.0004504382754606908,0.0,0.00017237092753547497,0.0,0.5690931919015009,0.5690931919015026,4.1043076184148894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.837437486192602,16.791092684201658,15.158776677959201,15.161538379381364,33.62853017039422,198689.11767334657,198513.81238583504,198725.31584622755,397202.93005918217,0.19868911767334657,0.19851381238583488,0.19872531584622768,0.3972029300591818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,compaction_wall_sum,rocksdb.compaction.times.micros,/home/1755_project/presentation/cpu/compaction_parallelism/final-speedup-cpu-8mb-sst_4sst/sst_8MB/input_4sst/value_64/subcomp_2/repeat_01,computation,253.72201617434993,281.8188219909511,3325585.2104004393,3.325585210400439,126160.2,2768.679064102591,1.7268499000793889,0.06948707518954995,0.8634249500396944
compactall,compactall,8,32,4,input_4sst,64,16,4,1,5,0.0479578,47957.8,1.0,5.0,419431.0,33554432.0,6.0,37263412.0,37325142.0,1.0,4.0,4.0,0.0479578,0.1018786,0.0,0.009771285599999999,0.0,20.353140853759253,79.64685914624076,212.50340914511858,37263412.0,37163400.0,419354.0,418984.0,419430.4,33548320.0,33518720.0,741.5097768987898,739.5196243113885,667.5826485918469,667.7042721231651,1481.0294012101783,8750139.291623054,8742418.96097663,8751733.435572749,17492558.252599686,8.750139291623054,8.74241896097663,8.75173343557275,17.492558252599686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012469002205469368,1246.900220546937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012469002205469368,0.0018708233053925732,0.0,0.0007509348457320648,0.0,1.1128486517965424,1.1128486517965392,3.7448584557403444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.269060417911756,19.217343809928668,17.347971382745037,17.351131922560175,38.48640422784048,227383.33050791547,227182.70804506107,227424.7563353809,454566.03855297767,0.2273833305079159,0.227182708045061,0.22742475633538134,0.45456603855297784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,compaction_wall_sum,rocksdb.compaction.times.micros,/home/1755_project/presentation/cpu/compaction_parallelism/final-speedup-cpu-8mb-sst_4sst/sst_8MB/input_4sst/value_64/subcomp_4/repeat_01,computation,253.72201617434993,281.8188219909511,3325585.2104004393,3.325585210400439,126160.2,2768.679064102591,2.6306502800378664,0.08950447859270341,0.6576625700094666
compactall,compactall,8,32,4,input_4sst,64,16,8,1,5,0.055741799999999994,55741.8,1.0,5.0,419431.0,33554432.0,6.0,37263412.0,37325142.0,1.0,5.0,5.0,0.055741799999999994,0.1545494,0.0,0.0114634008,0.0,20.224216770952093,79.7757832290479,274.818948360303,37263412.0,37160600.0,419354.0,418984.0,419430.4,33548320.0,33518720.0,646.4289996542528,644.6454630765381,581.981245777514,582.0872740189935,1291.074462730791,7628144.584655032,7621414.200549187,7629534.318021752,15249558.785204217,7.628144584655033,7.621414200549187,7.6295343180217525,15.249558785204218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069278965754404846,6927.896575440484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069278965754404846,0.03281541834321178,0.0,0.003165035038054045,0.0,2.8519022769477056,2.8519022769477043,25.083464712291445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.82270246006289,71.6245392943999,64.66211428505194,64.67389475103387,143.44724175446274,847539.264357033,846791.472448974,847693.673280751,1694330.7368060069,0.8475392643570332,0.846791472448974,0.8476936732807512,1.6943307368060065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,compaction_wall_sum,rocksdb.compaction.times.micros,/home/1755_project/presentation/cpu/compaction_parallelism/final-speedup-cpu-8mb-sst_4sst/sst_8MB/input_4sst/value_64/subcomp_8/repeat_01,computation,253.72201617434993,281.8188219909511,3325585.2104004393,3.325585210400439,126160.2,2768.679064102591,2.263296126066973,0.2856464158738339,0.2829120157583716
