secs_elapsed,foreground,rocksdb_compaction,rocksdb_flush,rocksdb_other_bg,other,sst_size_mb,input_data_mb,requested_input_sst_count,value_size,requested_subcompactions,repeat_index
0.101,0.0,99.5894,0.0,0.0,0.0,8,32,4,32,1,1
0.101,0.0,99.5736,0.0,0.0,0.0,8,32,4,32,1,2
0.101,0.0,79.6315,0.0,0.0,0.0,8,32,4,32,1,3
0.101,0.0,79.6531,0.0,0.0,0.0,8,32,4,32,1,4
0.101,0.0,79.6092,0.0,0.0,0.0,8,32,4,32,1,5
0.101,0.0,79.615,0.0,0.0,0.0,8,32,4,64,1,1
0.101,0.0,79.6976,0.0,0.0,0.0,8,32,4,64,1,2
0.101,0.0,79.6185,0.0,0.0,0.0,8,32,4,64,1,3
0.101,0.0,89.5825,0.0,0.0,0.0,8,32,4,64,1,4
0.101,0.0,89.5898,0.0,0.0,0.0,8,32,4,64,1,5
