sst_size_mb,input_sst_count,value_size,method_group,method_key,method_label,speedup,speedup_std,details,speedup_min,log_path
8,32,32,cpu,subcomp_16,sub 16,3.112301307123345,0.1253017121825226,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=16",,
8,32,32,cpu,subcomp_2,sub 2,1.8268903504959484,0.0125983308243045,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=2",,
8,32,32,cpu,subcomp_32,sub 32,1.9872545975387963,0.0883108101664272,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=32",,
8,32,32,cpu,subcomp_4,sub 4,3.151991965926285,0.0245715793906369,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=4",,
8,32,32,cpu,subcomp_8,sub 8,3.646610756196535,0.204524880587854,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=8",,
8,32,32,gpu,c_paper_without_plan,c_no_plan,3.320429283250287,0.07248448439890917,GPComp speedup computed from mean CPU/GPU wall time; std uses propagated timing stddev,3.38,/home/1755_project/invalidation-aware-caching/cuda_test_shafin/sweep_results/sweep_8mb-sst_32sst/result_val32B_c_paper_without_plan.log
8,32,32,gpu,c_paper_with_plan,c_plan,3.2884335848273,0.030392647702502044,GPComp speedup computed from mean CPU/GPU wall time; std uses propagated timing stddev,3.29,/home/1755_project/invalidation-aware-caching/cuda_test_shafin/sweep_results/sweep_8mb-sst_32sst/result_val32B_c_paper_with_plan.log
8,32,32,gpu,q_paper_without_plan,q_no_plan,5.005454307066998,0.08992249818479653,GPComp speedup computed from mean CPU/GPU wall time; std uses propagated timing stddev,5.1,/home/1755_project/invalidation-aware-caching/cuda_test_shafin/sweep_results/sweep_8mb-sst_32sst/result_val32B_q_paper_without_plan.log
8,32,32,gpu,q_paper_with_plan,q_plan,4.922090678798532,0.08481611852791522,GPComp speedup computed from mean CPU/GPU wall time; std uses propagated timing stddev,4.95,/home/1755_project/invalidation-aware-caching/cuda_test_shafin/sweep_results/sweep_8mb-sst_32sst/result_val32B_q_paper_with_plan.log
8,32,64,cpu,subcomp_16,sub 16,2.469002046788708,0.0563318172406068,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=16",,
8,32,64,cpu,subcomp_2,sub 2,1.8001939763361867,0.0160079146918229,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=2",,
8,32,64,cpu,subcomp_32,sub 32,1.4590116706228846,0.0646026835574224,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=32",,
8,32,64,cpu,subcomp_4,sub 4,2.957197230707316,0.0670154636080261,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=4",,
8,32,64,cpu,subcomp_8,sub 8,3.1095017342208355,0.1568573383025818,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=8",,
8,32,64,gpu,c_paper_without_plan,c_no_plan,2.465630645642222,0.04900167986834326,GPComp speedup computed from mean CPU/GPU wall time; std uses propagated timing stddev,2.46,/home/1755_project/invalidation-aware-caching/cuda_test_shafin/sweep_results/sweep_8mb-sst_32sst/result_val64B_c_paper_without_plan.log
8,32,64,gpu,c_paper_with_plan,c_plan,2.4730874196672237,0.06733596841975324,GPComp speedup computed from mean CPU/GPU wall time; std uses propagated timing stddev,2.47,/home/1755_project/invalidation-aware-caching/cuda_test_shafin/sweep_results/sweep_8mb-sst_32sst/result_val64B_c_paper_with_plan.log
8,32,64,gpu,q_paper_without_plan,q_no_plan,3.7675469075747046,0.09195856285584592,GPComp speedup computed from mean CPU/GPU wall time; std uses propagated timing stddev,3.83,/home/1755_project/invalidation-aware-caching/cuda_test_shafin/sweep_results/sweep_8mb-sst_32sst/result_val64B_q_paper_without_plan.log
8,32,64,gpu,q_paper_with_plan,q_plan,3.770439499082715,0.0728022277506489,GPComp speedup computed from mean CPU/GPU wall time; std uses propagated timing stddev,3.8,/home/1755_project/invalidation-aware-caching/cuda_test_shafin/sweep_results/sweep_8mb-sst_32sst/result_val64B_q_paper_with_plan.log
8,32,128,cpu,subcomp_16,sub 16,1.9730129526246107,0.0456058598597248,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=16",,
8,32,128,cpu,subcomp_2,sub 2,1.7692574949855622,0.0192925508906909,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=2",,
8,32,128,cpu,subcomp_32,sub 32,1.1779396988557094,0.0373297014857597,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=32",,
8,32,128,cpu,subcomp_4,sub 4,2.7932575142160845,0.0117736463025912,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=4",,
8,32,128,cpu,subcomp_8,sub 8,2.6174712951924817,0.1136719985214116,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=8",,
