sst_size_mb,input_sst_count,value_size,method_group,method_key,method_label,speedup,speedup_std,details,speedup_min,cpu_mean_ms,cpu_std_ms,gpu_mean_ms,gpu_std_ms,log_path
8,32,32,cpu,subcomp_16,sub 16,3.0333881824123656,0.0430423537972818,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=16",,,,,,
8,32,32,cpu,subcomp_2,sub 2,1.7970039603018797,0.0147080328308073,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=2",,,,,,
8,32,32,cpu,subcomp_4,sub 4,3.1307611398680124,0.0319098270655051,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=4",,,,,,
8,32,32,cpu,subcomp_8,sub 8,3.774331262303012,0.1208624780847752,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=8",,,,,,
8,32,32,gpu,c_paper_without_plan,c_no_plan,3.40296304496227,0.03849985590676735,GPComp speedup computed from mean CPU/GPU wall time; std uses propagated timing stddev,3.46,1844.44,1.77,542.01,6.11,/home/1755_project/invalidation-aware-caching/atest/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_full/sweep_gpu_breakdown/result_val32B_c_paper_without_plan.log
8,32,32,gpu,c_paper_with_plan,c_plan,3.3530652699729027,0.02504527219615638,GPComp speedup computed from mean CPU/GPU wall time; std uses propagated timing stddev,3.38,1843.75,2.29,549.87,4.05,/home/1755_project/invalidation-aware-caching/atest/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_full/sweep_gpu_breakdown/result_val32B_c_paper_with_plan.log
8,32,32,gpu,q_paper_without_plan,q_no_plan,5.077443028196215,0.03376668098373917,GPComp speedup computed from mean CPU/GPU wall time; std uses propagated timing stddev,5.12,1840.37,1.14,362.46,2.4,/home/1755_project/invalidation-aware-caching/atest/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_full/sweep_gpu_breakdown/result_val32B_q_paper_without_plan.log
8,32,32,gpu,q_paper_with_plan,q_plan,4.979070899356444,0.05867144511358571,GPComp speedup computed from mean CPU/GPU wall time; std uses propagated timing stddev,5.06,1841.36,1.96,369.82,4.34,/home/1755_project/invalidation-aware-caching/atest/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_full/sweep_gpu_breakdown/result_val32B_q_paper_with_plan.log
8,32,64,cpu,subcomp_16,sub 16,2.4957037381028395,0.0275348126847549,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=16",,,,,,
8,32,64,cpu,subcomp_2,sub 2,1.7935505050310565,0.014224121819521,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=2",,,,,,
8,32,64,cpu,subcomp_4,sub 4,2.9828940226745457,0.0231586624831511,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=4",,,,,,
8,32,64,cpu,subcomp_8,sub 8,3.169742848409129,0.1332154899736882,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=8",,,,,,
8,32,64,gpu,c_paper_without_plan,c_no_plan,2.4741382408971644,0.01596954882911288,GPComp speedup computed from mean CPU/GPU wall time; std uses propagated timing stddev,2.5,1376.66,0.97,556.42,3.57,/home/1755_project/invalidation-aware-caching/atest/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_full/sweep_gpu_breakdown/result_val64B_c_paper_without_plan.log
8,32,64,gpu,c_paper_with_plan,c_plan,2.481514116166157,0.011215087258568651,GPComp speedup computed from mean CPU/GPU wall time; std uses propagated timing stddev,2.49,1379.97,0.64,556.1,2.5,/home/1755_project/invalidation-aware-caching/atest/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_full/sweep_gpu_breakdown/result_val64B_c_paper_with_plan.log
8,32,64,gpu,q_paper_without_plan,q_no_plan,3.798082237205704,0.049095845067904105,GPComp speedup computed from mean CPU/GPU wall time; std uses propagated timing stddev,3.82,1374.45,1.55,361.88,4.66,/home/1755_project/invalidation-aware-caching/atest/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_full/sweep_gpu_breakdown/result_val64B_q_paper_without_plan.log
8,32,64,gpu,q_paper_with_plan,q_plan,3.680646535655323,0.05241164837242522,GPComp speedup computed from mean CPU/GPU wall time; std uses propagated timing stddev,3.73,1382.23,3.12,375.54,5.28,/home/1755_project/invalidation-aware-caching/atest/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_full/sweep_gpu_breakdown/result_val64B_q_paper_with_plan.log
