value_bytes,mode,dataset,bench_log,query_csv,dmon_log,iteration_csv,summary_json,run_status,exit_code,nsys_profile_runs,nsys_log,nsys_report_path,nsys_kernel_csv,nsys_api_csv,nsys_run_status,nsys_exit_code,ncu_set,ncu_profile_runs,ncu_log,ncu_report_path,ncu_run_status,ncu_exit_code
32,q_paper_with_plan,/home/1755_project/invalidation-aware-caching/local_benchmark_artifacts/gpu_compaction/datasets/dataset_V32,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/result_val32B_q_paper_with_plan.log,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val32B_q_paper_with_plan/query_gpu.csv,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val32B_q_paper_with_plan/dmon.log,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val32B_q_paper_with_plan/iteration_summary.csv,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val32B_q_paper_with_plan/summary.json,ok,0,1,,,,,skipped,,default,1,,,skipped,
32,q_paper_with_plan_streaming_io,/home/1755_project/invalidation-aware-caching/local_benchmark_artifacts/gpu_compaction/datasets/dataset_V32,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/result_val32B_q_paper_with_plan_streaming_io.log,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val32B_q_paper_with_plan_streaming_io/query_gpu.csv,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val32B_q_paper_with_plan_streaming_io/dmon.log,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val32B_q_paper_with_plan_streaming_io/iteration_summary.csv,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val32B_q_paper_with_plan_streaming_io/summary.json,ok,0,1,,,,,skipped,,default,1,,,skipped,
32,q_paper_without_plan,/home/1755_project/invalidation-aware-caching/local_benchmark_artifacts/gpu_compaction/datasets/dataset_V32,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/result_val32B_q_paper_without_plan.log,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val32B_q_paper_without_plan/query_gpu.csv,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val32B_q_paper_without_plan/dmon.log,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val32B_q_paper_without_plan/iteration_summary.csv,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val32B_q_paper_without_plan/summary.json,ok,0,1,,,,,skipped,,default,1,,,skipped,
32,c_paper_with_plan,/home/1755_project/invalidation-aware-caching/local_benchmark_artifacts/gpu_compaction/datasets/dataset_V32,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/result_val32B_c_paper_with_plan.log,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val32B_c_paper_with_plan/query_gpu.csv,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val32B_c_paper_with_plan/dmon.log,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val32B_c_paper_with_plan/iteration_summary.csv,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val32B_c_paper_with_plan/summary.json,ok,0,1,,,,,skipped,,default,1,,,skipped,
32,c_paper_with_plan_streaming_io,/home/1755_project/invalidation-aware-caching/local_benchmark_artifacts/gpu_compaction/datasets/dataset_V32,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/result_val32B_c_paper_with_plan_streaming_io.log,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val32B_c_paper_with_plan_streaming_io/query_gpu.csv,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val32B_c_paper_with_plan_streaming_io/dmon.log,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val32B_c_paper_with_plan_streaming_io/iteration_summary.csv,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val32B_c_paper_with_plan_streaming_io/summary.json,ok,0,1,,,,,skipped,,default,1,,,skipped,
32,c_paper_without_plan,/home/1755_project/invalidation-aware-caching/local_benchmark_artifacts/gpu_compaction/datasets/dataset_V32,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/result_val32B_c_paper_without_plan.log,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val32B_c_paper_without_plan/query_gpu.csv,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val32B_c_paper_without_plan/dmon.log,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val32B_c_paper_without_plan/iteration_summary.csv,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val32B_c_paper_without_plan/summary.json,ok,0,1,,,,,skipped,,default,1,,,skipped,
1024,q_paper_with_plan,/home/1755_project/invalidation-aware-caching/local_benchmark_artifacts/gpu_compaction/datasets/dataset_V1024,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/result_val1024B_q_paper_with_plan.log,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val1024B_q_paper_with_plan/query_gpu.csv,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val1024B_q_paper_with_plan/dmon.log,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val1024B_q_paper_with_plan/iteration_summary.csv,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val1024B_q_paper_with_plan/summary.json,ok,0,1,,,,,skipped,,default,1,,,skipped,
1024,q_paper_with_plan_streaming_io,/home/1755_project/invalidation-aware-caching/local_benchmark_artifacts/gpu_compaction/datasets/dataset_V1024,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/result_val1024B_q_paper_with_plan_streaming_io.log,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val1024B_q_paper_with_plan_streaming_io/query_gpu.csv,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val1024B_q_paper_with_plan_streaming_io/dmon.log,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val1024B_q_paper_with_plan_streaming_io/iteration_summary.csv,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val1024B_q_paper_with_plan_streaming_io/summary.json,ok,0,1,,,,,skipped,,default,1,,,skipped,
1024,q_paper_without_plan,/home/1755_project/invalidation-aware-caching/local_benchmark_artifacts/gpu_compaction/datasets/dataset_V1024,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/result_val1024B_q_paper_without_plan.log,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val1024B_q_paper_without_plan/query_gpu.csv,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val1024B_q_paper_without_plan/dmon.log,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val1024B_q_paper_without_plan/iteration_summary.csv,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val1024B_q_paper_without_plan/summary.json,ok,0,1,,,,,skipped,,default,1,,,skipped,
1024,c_paper_with_plan,/home/1755_project/invalidation-aware-caching/local_benchmark_artifacts/gpu_compaction/datasets/dataset_V1024,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/result_val1024B_c_paper_with_plan.log,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val1024B_c_paper_with_plan/query_gpu.csv,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val1024B_c_paper_with_plan/dmon.log,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val1024B_c_paper_with_plan/iteration_summary.csv,/home/1755_project/invalidation-aware-caching/presentation_figures/initial_gpu_cpu_compaction_microbenchmark/8mb_sst_32sst_quick-test/gpu_device_metrics_gpu-only/gpu_metrics/val1024B_c_paper_with_plan/summary.json,ok,0,1,,,,,skipped,,default,1,,,skipped,
